uri,dcterms:identifier,,ID,rdfs:label,schema:description,schema:category,description:現在の地名,description:リンク,description:備考,description:番号,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri,description:図
http://example.org/data/10006,10006,,10006,志戸桶間切,七百十弐石余,間切,喜界島の北東部北側,？,,〔1〕,,,,"22491,8194,139,167",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=22491,8194,139,167","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/22491,8194,139,167/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10007,10007,,10007,東間切,千九百八十六石余,間切,"（ひがまきり）
喜界町／喜界島の北東部南側",？,,〔2〕,,,,"22091,8346,125,163",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=22091,8346,125,163","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/22091,8346,125,163/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10008,10008,,10008,西目間切之内,いしやく村,村,喜界町伊砂,https://goo.gl/maps/aPxUgDJ9KP2FLFkN7,,〔3〕,,,,"22036,8072,143,164",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=22036,8072,143,164","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/22036,8072,143,164/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10009,10009,,10009,西目間切,千五十石余,間切,喜界町／喜界島中央部北側,？,,〔4〕,,,,"21757,8016,140,159",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=21757,8016,140,159","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/21757,8016,140,159/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10010,10010,,10010,わん間切,千八百六拾弐石余,間切,喜界町／喜界島南西部北側,？,,〔5〕,,,,"21276,7967,120,164",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=21276,7967,120,164","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/21276,7967,120,164/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10011,10011,,10011,荒木間切,千三百廿弐石余,間切,喜界町／喜界島南西部南側,？,,〔6〕,,,,"21079,8106,136,161",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=21079,8106,136,161","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/21079,8106,136,161/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10012,10012,,10012,荒木間切之内,しつる村,村,喜界町上嘉鉄,https://goo.gl/maps/GGgdyzK3RRp9mJMw7,,〔7〕,,,,"21269,8405,136,157",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=21269,8405,136,157","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/21269,8405,136,157/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10015,10015,,10015,笠利間切之内,あかきな村,村,笠利町中金久・里・外金久,GPS化困難,,〔10〕,,,,"21206,5357,123,154",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=21206,5357,123,154","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/21206,5357,123,154/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10014,10014,,10014,笠利間切之内,喜瀬村,村,笠利町喜瀬,https://goo.gl/maps/tYBJXCkYhKhbWfB36,,〔9〕,,,,"20482,5824,132,168",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=20482,5824,132,168","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/20482,5824,132,168/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10013,10013,,10013,笠利間切之内,かとく村,村,龍郷町嘉渡,https://goo.gl/maps/4eRDqb7rnVokN2oU6,,〔8〕,,,,"20347,4426,124,159",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=20347,4426,124,159","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/20347,4426,124,159/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
